,Station ID,start station name,Flow,start station latitude,start station longitude
247,522,E 51 St & Lexington Ave,-225,40.75714758,-73.97207836
248,523,W 38 St & 8 Ave,-101,40.75466591,-73.99138152
249,525,W 34 St & 11 Ave,672,40.75594159,-74.0021163
250,526,E 33 St & 5 Ave,-389,40.74765947,-73.98490707
251,528,2 Ave & E 31 St,300,40.74290902,-73.97706058
252,529,W 42 St & 8 Ave,436,40.75756989999999,-73.99098507
253,530,11 Ave & W 59 St,67,40.771496710544405,-73.99046033620834
254,531,Forsyth St & Broome St,69,40.71893904,-73.99266288
255,532,S 5 Pl & S 5 St,218,40.710451,-73.960876
256,533,Broadway & W 38 St,-133,40.75299641,-73.98721619
257,534,Water - Whitehall Plaza,582,40.70255065,-74.0127234
258,536,1 Ave & E 30 St,449,40.74144387,-73.97536082
259,539,Metropolitan Ave & Bedford Ave,694,40.71534825,-73.96024116
260,540,Lexington Ave & E 29 St,99,40.74311555376486,-73.98215353488922
261,545,E 23 St & 1 Ave,53,40.736502,-73.97809472
262,546,E 30 St & Park Ave S,-21,40.74444921,-73.98303529
263,2000,Front St & Washington St,475,40.70255088,-73.98940236
264,2002,Wythe Ave & Metropolitan Ave,183,40.716887,-73.96319799999999
265,2003,1 Ave & E 18 St,-896,40.73381219196632,-73.9805442094803
266,2005,Railroad Ave & Kay Ave,-7,40.70531194,-73.97100056
267,2006,Central Park S & 6 Ave,-237,40.76590936,-73.97634151
268,2008,Little West St & 1 Pl,70,40.70569254,-74.01677685
269,2009,Catherine St & Monroe St,218,40.71117444,-73.99682619
270,2010,Grand St & Greene St,88,40.72170005235607,-74.00238141417502
271,2012,E 27 St & 1 Ave,235,40.739445,-73.97680600000001
272,2017,E 43 St & 2 Ave,-423,40.75022392,-73.97121414
273,2021,W 45 St & 8 Ave,11,40.75929124,-73.98859651
274,2022,E 60 St & York Ave,-25,40.759107,-73.959223
275,3002,South End Ave & Liberty St,-33,40.711512,-74.01575600000001
276,3016,Kent Ave & N 7 St,1196,40.72036775298455,-73.96165072917937
277,3041,Kingston Ave & Herkimer St,33,40.67890679,-73.94142771
278,3042,Fulton St & Utica Ave,81,40.6794268,-73.92989109999999
279,3043,Lewis Ave & Decatur St,-10,40.6814598,-73.934903
280,3044,Albany Ave & Fulton St,-11,40.6800105,-73.938475
281,3046,Marcus Garvey Blvd & Macon St,20,40.682601,-73.938037
282,3047,Halsey St & Tompkins Ave,-17,40.682368700000005,-73.944118
283,3048,Putnam Ave & Nostrand Ave,-32,40.684020000000004,-73.94977
284,3049,Cambridge Pl & Gates Ave,-4,40.68488,-73.96304
285,3050,Putnam Ave & Throop Ave,-17,40.6851532,-73.94111
286,3052,Lewis Ave & Madison St,61,40.686312,-73.935775
287,3053,Marcy Ave & Lafayette Ave,-116,40.6900815,-73.94791500000001
288,3054,Greene Ave & Throop Ave,35,40.6894932,-73.942061
289,3055,Greene Ave & Nostrand Ave,-19,40.68833370000001,-73.950916
290,3056,Kosciuszko St & Nostrand Ave,8,40.69072549,-73.95133465
291,3057,Kosciuszko St & Tompkins Ave,-116,40.69128258,-73.9452416
292,3058,Lewis Ave & Kosciuszko St,-70,40.69237074,-73.93705428
293,3059,Pulaski St & Marcus Garvey Blvd,2,40.693398200000004,-73.939877
294,3060,Willoughby Ave & Tompkins Ave,-1,40.69425403,-73.94626915
295,3061,Throop Ave & Myrtle Ave,-75,40.69622937,-73.94371094
296,3062,Myrtle Ave & Marcy Ave,-40,40.69539817,-73.94954908
297,3063,Nostrand Ave & Myrtle Ave,-23,40.69527008,-73.95238108
298,3064,Myrtle Ave & Lewis Ave,-200,40.69681963,-73.93756926
299,3065,Union Ave & Wallabout St,0,40.70029511,-73.95032283
300,3066,Tompkins Ave & Hopkins St,-12,40.69957608,-73.94708417
301,3067,Broadway & Whipple St,15,40.7016657,-73.9437303
302,3068,Humboldt St & Varet St,22,40.7031724,-73.940636
303,3069,Lorimer St & Broadway,-26,40.70411791,-73.94818595
304,3070,McKibbin St & Manhattan Ave,0,40.70510918,-73.94407279
305,3071,Boerum St & Broadway,22,40.70538077,-73.94976519
306,3072,Leonard St & Boerum St,19,40.70583339,-73.94644578
307,3074,Montrose Ave & Bushwick Ave,-73,40.70767788,-73.94016171
308,3075,Division Ave & Marcy Ave,-3,40.70708701,-73.95796783
309,3076,Scholes St & Manhattan Ave,-64,40.70870368,-73.9448625
310,3077,Stagg St & Union Ave,-76,40.70877084,-73.95095259
311,3078,Broadway & Roebling St,-63,40.70924826276157,-73.96063148975372
312,3080,S 4 St & Rodney St,29,40.709340000000005,-73.95608
313,3081,Graham Ave & Grand St,34,40.711863,-73.944024
314,3082,Hope St & Union Ave,34,40.71167351,-73.95141312
315,3083,Bushwick Ave & Powers St,-128,40.71247661,-73.94100005
316,3085,Roebling St & N 4 St,58,40.714690000000004,-73.95739
317,3086,Graham Ave & Conselyea St,-41,40.715143,-73.944507
318,3087,Metropolitan Ave & Meeker Ave,67,40.71413311,-73.95234386
319,3088,Union Ave & Jackson St,24,40.7160751,-73.95202900000001
320,3092,Berry St & N 8 St,143,40.7190095,-73.95852515
321,3093,N 6 St & Bedford Ave,433,40.71745169,-73.95850939
322,3094,Graham Ave & Withers St,38,40.7169811,-73.94485918
323,3095,Graham Ave & Herbert St,8,40.71929301,-73.94500379
324,3096,Union Ave & N 12 St,158,40.71924,-73.95241999999999
325,3100,Nassau Ave & Newell St,113,40.724812564400175,-73.94752621650694
326,3101,N 12 St & Bedford Ave,91,40.72079821,-73.95484712
327,3102,Driggs Ave & Lorimer St,104,40.72179134,-73.95041540000001
328,3105,N 15 St & Wythe Ave,45,40.724055,-73.955736
329,3106,Driggs Ave & N Henry St,-47,40.72325,-73.94308000000001
330,3107,Bedford Ave & Nassau Ave,237,40.72311651,-73.95212324
331,3108,Nassau Ave & Russell St,-239,40.725570000000005,-73.94434
332,3109,Banker St & Meserole Ave,40,40.72606,-73.95621
333,3110,Meserole Ave & Manhattan Ave,71,40.72708584,-73.95299117
334,3112,Milton St & Franklin St,259,40.72906,-73.95779
335,3113,Greenpoint Ave & Manhattan Ave,84,40.730259999999994,-73.95394
336,3115,India St & Manhattan Ave,147,40.73232194,-73.9550858
337,3116,Huron St & Franklin St,113,40.732659999999996,-73.95826
338,3117,Franklin St & Dupont St,92,40.735640000000004,-73.95866
339,3118,McGuinness Blvd & Eagle St,70,40.73555,-73.95284000000001
340,3119,Vernon Blvd & 50 Ave,54,40.74232744,-73.95411749
341,3121,Jackson Ave & 46 Rd,-29,40.74524768,-73.94733276
342,3122,48 Ave & 5 St,20,40.74436328706688,-73.95587325096129
343,3123,31 St & Thomson Ave,53,40.74469738,-73.93540375
344,3124,46 Ave & 5 St,47,40.74731,-73.95451
345,3125,45 Rd & 11 St,12,40.74708586,-73.94977234
346,3126,44 Dr & Jackson Ave,-32,40.74718234,-73.9432635
347,3127,9 St & 44 Rd,-2,40.74966,-73.9521
348,3128,21 St & 43 Ave,-13,40.75052534,-73.94594845
349,3129,Queens Plaza North & Crescent St,-202,40.75110165,-73.94073717
350,3130,21 St & Queens Plaza North,-47,40.75325964,-73.94335788
351,3131,E 68 St & 3 Ave,-394,40.76712840349542,-73.96224617958069
352,3132,E 59 St & Madison Ave,-318,40.76350532,-73.97109243
353,3134,3 Ave & E 62 St,-490,40.76312584,-73.96526895
354,3135,E 75 St & 3 Ave,-22,40.77112927,-73.95772297
355,3136,5 Ave & E 63 St,0,40.766368,-73.971518
356,3137,5 Ave & E 73 St,-119,40.77282817,-73.96685276
357,3139,E 72 St & Park Ave,-167,40.77118287540658,-73.96409422159195
358,3140,1 Ave & E 78 St,-283,40.77140426,-73.9535166
359,3141,1 Ave & E 68 St,92,40.76500525,-73.95818491
360,3142,1 Ave & E 62 St,-268,40.761227399999996,-73.96094022
361,3143,5 Ave & E 78 St,-617,40.77632142182271,-73.96427392959596
362,3144,E 81 St & Park Ave,-568,40.77677702,-73.95900970000001
363,3145,E 84 St & Park Ave,-628,40.77862688,-73.95772073
364,3146,E 81 St & 3 Ave,-102,40.77573034,-73.9567526
